sex,n_child,year,low,mean,high
F,0,2015,10.948645980159661,14.741935483870966,18.53522498758227
F,0,2016,11.140943978369368,14.943333333333335,18.745722688297302
F,0,2017,10.45594230858502,14.16129032258065,17.86663833657628
F,0,2018,10.413444814341588,14.086666666666664,17.75988851899174
F,0,2019,9.787602442022107,13.396774193548385,17.005945945074664
F,0,2020,9.614618448107958,13.565517241379307,17.516416034650657
F,1,2015,15.546866441980143,22.333333333333325,29.119800224686507
F,1,2016,15.672942642498942,22.433333333333334,29.193724024167725
F,1,2017,15.642654441669496,22.279999999999998,28.9173455583305
F,1,2018,15.121887986468789,21.766666666666666,28.411445346864543
F,1,2019,14.754951501011163,21.57333333333333,28.391715165655498
F,1,2020,13.885050839724522,20.565517241379315,27.24598364303411
M,0,2015,5.710222507521969,7.116129032258065,8.52203555699416
M,0,2016,5.868483663571551,7.209375,8.550266336428448
M,0,2017,5.6474383336781555,7.0687500000000005,8.490061666321846
M,0,2018,5.385150092332222,6.784375000000001,8.183599907667778
M,0,2019,5.261691069121394,6.700000000000001,8.138308930878608
M,0,2020,5.455325966420332,7.186206896551723,8.917087826683114
M,1,2015,3.9509373488382833,4.953333333333333,5.955729317828383
M,1,2016,4.12984613114449,5.163333333333333,6.196820535522177
M,1,2017,3.6881717835278853,4.796551724137932,5.904931664747979
M,1,2018,3.5122212050510986,4.58,5.647778794948902
M,1,2019,3.3968637433925846,4.516666666666667,5.636469589940749
M,1,2020,3.552555243297743,5.1642857142857155,6.776016185273688
