CountryName,CountryCode,percentage
Aruba,ABW,97.8001327514648
Afghanistan,AFG,55.4754486083984
Albania,ALB,98.5136184692383
Argentina,ARG,98.93773651123051
Benin,BEN,53.9770317077637
Burkina Faso,BFA,50.074588775634794
Bangladesh,BGD,76.6692581176758
Bahrain,BHR,98.7631683349609
Belarus,BLR,99.7939834594727
Brazil,BRA,93.00904083251949
Brunei Darussalam,BRN,98.05361938476558
Central African Republic,CAF,49.514591217040994
China,CHN,98.4665374755859
Cote d'Ivoire,CIV,53.6569404602051
Cameroon,CMR,82.62803649902341
Congo Rep.,COG,86.07650756835942
Colombia,COL,94.8518295288086
Comoros,COM,64.6442031860352
Costa Rica,CRI,97.8023529052734
Algeria,DZA,87.4229583740234
Eritrea,ERI,84.3732376098633
Spain,ESP,98.9253921508789
Gabon,GAB,85.8523483276367
Ghana,GHA,83.5245819091797
Greece,GRC,98.50704956054692
Honduras,HND,87.1376419067383
Indonesia,IDN,97.3313369750977
India,IND,82.3667068481445
Italy,ITA,99.3534469604492
Jordan,JOR,98.6142120361328
Kazakhstan,KAZ,99.82968139648442
Kenya,KEN,84.98883056640629
Kyrgyz Republic,KGZ,99.67700958251949
Kuwait,KWT,96.6664581298828
Lebanon,LBN,96.8546600341797
Sri Lanka,LKA,92.7729263305664
Latvia,LVA,99.8683700561523
Morocco,MAR,83.3013534545898
Madagascar,MDG,77.2751388549805
Mexico,MEX,96.23290252685551
Mali,MLI,46.184139251709006
Malta,MLT,93.0099716186523
Montenegro,MNE,99.45046997070308
Mongolia,MNG,98.1860122680664
Mauritius,MUS,93.3573532104492
Malaysia,MYS,96.123046875
Namibia,NAM,91.6274185180664
Niger,NER,43.594058990478494
Nigeria,NGA,71.2557067871094
Nepal,NPL,78.5913391113281
Oman,OMN,96.9894180297852
Panama,PAN,95.96893310546879
Peru,PER,97.12136840820308
Portugal,PRT,97.3536224365234
Paraguay,PRY,94.51148223876949
West Bank and Gaza,PSE,98.6577606201172
Pacific island small states,PSS,93.2814178466797
Romania,ROU,99.1080093383789
Russian Federation,RUS,99.72515869140629
Rwanda,RWA,77.5587997436523
Sudan,SDN,65.43515014648439
Singapore,SGP,98.8508987426758
Sierra Leone,SLE,51.646881103515604
El Salvador,SLV,91.1023406982422
San Marino,SMR,99.9320831298828
South Sudan,SSD,40.264808654785206
Sao Tome and Principe,STP,96.1626815795898
Suriname,SUR,96.0740432739258
Eswatini,SWZ,88.2875823974609
Seychelles,SYC,95.4117584228516
Thailand,THA,95.202392578125
Timor-Leste,TLS,71.8687210083008
Tonga,TON,99.35098266601558
Uganda,UGA,82.6560134887695
Uruguay,URY,98.3713607788086
Uzbekistan,UZB,99.9999771118164
Vietnam,VNM,96.45677947998051
Vanuatu,VUT,88.3063507080078
Samoa,WSM,98.9560928344727
Zambia,ZMB,90.6011810302734
